treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,blank,neg,nm
AB,HOK,HOK,HOK,2,4,1,7B,30,,,,,,450
P,SEK,HOK,HOK,2,4,1,7C,30,,,,,,450
AB,SEK,HOK,HOK,2,4,1,7D,30,,,,,,450
P,SEK,SEK,HOK,2,4,1,7E,30,,,,,,450
AB,SEK,SEK,HOK,2,4,1,7F,30,,,,,,450
P,HOK,SEK,HOK,2,4,1,7G,30,,,,,,450
AB,HOK,SEK,HOK,2,4,1,7H,30,,,,,,450
P,HOK,HOK,HOK,2,3,1,8A,30,,,,,,450
AB,HOK,HOK,HOK,2,3,1,8B,30,,,,,,450
P,SEK,HOK,HOK,2,3,1,8C,30,,,,,,450
AB,SEK,HOK,HOK,2,3,1,8D,30,,,,,,450
P,SEK,SEK,HOK,2,3,1,8E,30,,,,,,450
AB,SEK,SEK,HOK,2,3,1,8F,30,,,,,,450
P,HOK,SEK,HOK,2,3,1,8G,30,,,,,,450
AB,HOK,SEK,HOK,2,3,1,8H,30,,,,,,450
P,HOK,HOK,HOK,2,2,1,9A,30,,,,,,450
AB,HOK,HOK,HOK,2,2,1,9B,30,,,,,,450
P,SEK,HOK,HOK,2,2,1,9C,30,,,,,,450
AB,SEK,HOK,HOK,2,2,1,9D,30,,,,,,450
P,SEK,SEK,HOK,2,2,1,9E,30,,,,,,450
AB,SEK,SEK,HOK,2,2,1,9F,30,,,,,,450
P,HOK,SEK,HOK,2,2,1,9G,30,,,,,,450
AB,HOK,SEK,HOK,2,2,1,9H,30,,,,,,450
P,HOK,HOK,HOK,2,1,1,10A,30,,,,,,450
AB,HOK,HOK,HOK,2,1,1,10B,30,,,,,,450
P,SEK,HOK,HOK,2,1,1,10C,30,,,,,,450
AB,SEK,HOK,HOK,2,1,1,10D,30,,,,,,450
P,SEK,SEK,HOK,2,1,1,10E,30,,,,,,450
AB,SEK,SEK,HOK,2,1,1,10F,30,,,,,,450
P,HOK,SEK,HOK,2,1,1,10G,30,,,,,,450
AB,HOK,SEK,HOK,2,1,1,10H,30,,,,,,450
P,HOK,HOK,SEK,1,5,1,1A,30,,,,,,450
AB,HOK,HOK,SEK,1,5,1,1B,30,,,,,,450
P,SEK,HOK,SEK,1,5,1,1C,30,,,,,,450
AB,SEK,HOK,SEK,1,5,1,1D,30,,,,,,450
P,SEK,SEK,SEK,1,5,1,1E,30,,,,,,450
AB,SEK,SEK,SEK,1,5,1,1F,30,,,,,,450
P,HOK,SEK,SEK,1,5,1,1G,30,,,,,,450
AB,HOK,SEK,SEK,1,5,1,1H,30,,,,,,450
P,HOK,HOK,SEK,1,4,1,2A,30,,,,,,450
AB,HOK,HOK,SEK,1,4,1,2B,30,,,,,,450
P,SEK,HOK,SEK,1,4,1,2C,30,,,,,,450
AB,SEK,HOK,SEK,1,4,1,2D,30,,,,,,450
P,SEK,SEK,SEK,1,4,1,2E,30,,,,,,450
AB,SEK,SEK,SEK,1,4,1,2F,30,,,,,,450
P,HOK,SEK,SEK,1,4,1,2G,30,,,,,,450
AB,HOK,SEK,SEK,1,4,1,2H,30,,,,,,450
P,HOK,HOK,SEK,1,3,1,3A,30,,,,,,450
AB,HOK,HOK,SEK,1,3,1,3B,30,,,,,,450
P,SEK,HOK,SEK,1,3,1,3C,30,,,,,,450
AB,SEK,HOK,SEK,1,3,1,3D,30,,,,,,450
P,SEK,SEK,SEK,1,3,1,3E,30,,,,,,450
AB,SEK,SEK,SEK,1,3,1,3F,30,,,,,,450
P,HOK,SEK,SEK,1,3,1,3G,30,,,,,,450
AB,HOK,SEK,SEK,1,3,1,3H,30,,,,,,450
P,HOK,HOK,SEK,1,2,1,4A,30,,,,,,450
AB,HOK,HOK,SEK,1,2,1,4B,30,,,,,,450
P,SEK,HOK,SEK,1,2,1,4C,30,,,,,,450
AB,SEK,HOK,SEK,1,2,1,4D,30,,,,,,450
P,SEK,SEK,SEK,1,2,1,4E,30,,,,,,450
AB,SEK,SEK,SEK,1,2,1,4F,30,,,,,,450
P,HOK,SEK,SEK,1,2,1,4G,30,,,,,,450
AB,HOK,SEK,SEK,1,2,1,4H,30,,,,,,450
P,HOK,HOK,SEK,1,1,1,5A,30,,,,,,450
AB,HOK,HOK,SEK,1,1,1,5B,30,,,,,,450
P,SEK,HOK,SEK,1,1,1,5C,30,,,,,,450
AB,SEK,HOK,SEK,1,1,1,5D,30,,,,,,450
P,SEK,SEK,SEK,1,1,1,5E,30,,,,,,450
AB,SEK,SEK,SEK,1,1,1,5F,30,,,,,,450
P,HOK,SEK,SEK,1,1,1,5G,30,,,,,,450
AB,HOK,SEK,SEK,1,1,1,5H,30,,,,,,450
P,HOK,HOK,HOK,1,5,1,6A,30,,,,,,450
AB,HOK,HOK,HOK,1,5,1,6B,30,,,,,,450
P,SEK,HOK,HOK,1,5,1,6C,30,,,,,,450
AB,SEK,HOK,HOK,1,5,1,6D,30,,,,,,450
P,SEK,SEK,HOK,1,5,1,6E,30,,,,,,450
AB,SEK,SEK,HOK,1,5,1,6F,30,,,,,,450
P,HOK,SEK,HOK,1,5,1,6G,30,,,,,,450
AB,HOK,SEK,HOK,1,5,1,6H,30,,,,,,450
P,HOK,HOK,HOK,1,4,1,7A,30,,,,,,450
AB,HOK,HOK,HOK,1,4,1,7B,30,,,,,,450
P,SEK,HOK,HOK,1,4,1,7C,30,,,,,,450
AB,SEK,HOK,HOK,1,4,1,7D,30,,,,,,450
P,SEK,SEK,HOK,1,4,1,7E,30,,,,,,450
AB,SEK,SEK,HOK,1,4,1,7F,30,,,,,,450
P,HOK,SEK,HOK,1,4,1,7G,30,,,,,,450
AB,HOK,SEK,HOK,1,4,1,7H,30,,,,,,450
P,HOK,HOK,HOK,1,3,1,8A,30,,,,,,450
AB,HOK,HOK,HOK,1,3,1,8B,30,,,,,,450
P,SEK,HOK,HOK,1,3,1,8C,30,,,,,,450
AB,SEK,HOK,HOK,1,3,1,8D,30,,,,,,450
P,SEK,SEK,HOK,1,3,1,8E,30,,,,,,450
AB,SEK,SEK,HOK,1,3,1,8F,30,,,,,,450
P,HOK,SEK,HOK,1,3,1,8G,30,,,,,,450
AB,HOK,SEK,HOK,1,3,1,8H,30,,,,,,450
P,HOK,HOK,HOK,1,2,1,9A,30,,,,,,450
AB,HOK,HOK,HOK,1,2,1,9B,30,,,,,,450
P,SEK,HOK,HOK,1,2,1,9C,30,,,,,,450
AB,SEK,HOK,HOK,1,2,1,9D,30,,,,,,450
P,SEK,SEK,HOK,1,2,1,9E,30,,,,,,450
AB,SEK,SEK,HOK,1,2,1,9FR,30,,,,,,450
P,HOK,SEK,HOK,1,2,1,9G,30,,,,,,450
AB,HOK,SEK,HOK,1,2,1,9H,30,,,,,,450
P,HOK,HOK,HOK,1,1,1,10A,30,,,,,,450
AB,HOK,HOK,HOK,1,1,1,10B,30,,,,,,450
P,SEK,HOK,HOK,1,1,1,10C,30,,,,,,450
AB,SEK,HOK,HOK,1,1,1,10D,30,,,,,,450
P,SEK,SEK,HOK,1,1,1,10E,30,,,,,,450
AB,SEK,SEK,HOK,1,1,1,10F,30,,,,,,450
P,HOK,SEK,HOK,1,1,1,10G,30,,,,,,450
AB,HOK,SEK,HOK,1,1,1,10H,30,,,,,,450
P,HOK,HOK,SEK,2,5,1,1A,120,,,,,,450
AB,HOK,HOK,SEK,2,5,1,1B,120,,,,,,450
P,SEK,HOK,SEK,2,5,1,1C,120,,,,,,450
AB,SEK,HOK,SEK,2,5,1,1D,120,,,,,,450
P,SEK,SEK,SEK,2,5,1,1E,120,,,,,,450
AB,SEK,SEK,SEK,2,5,1,1F,120,,,,,,450
P,HOK,SEK,SEK,2,5,1,1G,120,,,,,,450
AB,HOK,SEK,SEK,2,5,1,1H,120,,,,,,450
P,HOK,HOK,SEK,2,4,1,2A,120,,,,,,450
AB,HOK,HOK,SEK,2,4,1,2B,120,,,,,,450
P,SEK,HOK,SEK,2,4,1,2C,120,,,,,,450
AB,SEK,HOK,SEK,2,4,1,2D,120,,,,,,450
P,SEK,SEK,SEK,2,4,1,2E,120,,,,,,450
AB,SEK,SEK,SEK,2,4,1,2F,120,,,,,,450
P,HOK,SEK,SEK,2,4,1,2G,120,,,,,,450
AB,HOK,SEK,SEK,2,4,1,2H,120,,,,,,450
P,HOK,HOK,SEK,2,3,1,3A,120,,,,,,450
AB,HOK,HOK,SEK,2,3,1,3B,120,,,,,,450
P,SEK,HOK,SEK,2,3,1,3C,120,,,,,,450
AB,SEK,HOK,SEK,2,3,1,3D,120,,,,,,450
P,SEK,SEK,SEK,2,3,1,3E,120,,,,,,450
AB,SEK,SEK,SEK,2,3,1,3F,120,,,,,,450
P,HOK,SEK,SEK,2,3,1,3G,120,,,,,,450
AB,HOK,SEK,SEK,2,3,1,3H,120,,,,,,450
P,HOK,HOK,SEK,2,2,1,4A,120,,,,,,450
AB,HOK,HOK,SEK,2,2,1,4B,120,,,,,,450
P,SEK,HOK,SEK,2,2,1,4C,120,,,,,,450
AB,SEK,HOK,SEK,2,2,1,4D,120,,,,,,450
P,SEK,SEK,SEK,2,2,1,4E,120,,,,,,450
AB,SEK,SEK,SEK,2,2,1,4F,120,,,,,,450
P,HOK,SEK,SEK,2,2,1,4G,120,,,,,,450
AB,HOK,SEK,SEK,2,2,1,4H,120,,,,,,450
P,HOK,HOK,SEK,2,1,1,5A,120,,,,,,450
AB,HOK,HOK,SEK,2,1,1,5B,120,,,,,,450
P,SEK,HOK,SEK,2,1,1,5C,120,,,,,,450
AB,SEK,HOK,SEK,2,1,1,5D,120,,,,,,450
P,SEK,SEK,SEK,2,1,1,5E,120,,,,,,450
AB,SEK,SEK,SEK,2,1,1,5F,120,,,,,,450
P,HOK,SEK,SEK,2,1,1,5G,120,,,,,,450
AB,HOK,SEK,SEK,2,1,1,5H,120,,,,,,450
P,HOK,HOK,HOK,2,5,1,6A,120,,,,,,450
AB,HOK,HOK,HOK,2,5,1,6B,120,,,,,,450
P,SEK,HOK,HOK,2,5,1,6C,120,,,,,,450
AB,SEK,HOK,HOK,2,5,1,6D,120,,,,,,450
P,SEK,SEK,HOK,2,5,1,6E,120,,,,,,450
AB,SEK,SEK,HOK,2,5,1,6F,120,,,,,,450
P,HOK,SEK,HOK,2,5,1,6G,120,,,,,,450
AB,HOK,SEK,HOK,2,5,1,6H,120,,,,,,450
P,HOK,HOK,HOK,2,4,1,7A,120,,,,,,450
AB,HOK,HOK,HOK,2,4,1,7B,120,,,,,,450
P,SEK,HOK,HOK,2,4,1,7C,120,,,,,,450
AB,SEK,HOK,HOK,2,4,1,7D,120,,,,,,450
P,SEK,SEK,HOK,2,4,1,7E,120,,,,,,450
AB,SEK,SEK,HOK,2,4,1,7F,120,,,,,,450
P,HOK,SEK,HOK,2,4,1,7G,120,,,,,,450
AB,HOK,SEK,HOK,2,4,1,7H,120,,,,,,450
P,HOK,HOK,HOK,2,3,1,8A,120,,,,,,450
AB,HOK,HOK,HOK,2,3,1,8B,120,,,,,,450
P,SEK,HOK,HOK,2,3,1,8C,120,,,,,,450
AB,SEK,HOK,HOK,2,3,1,8D,120,,,,,,450
P,SEK,SEK,HOK,2,3,1,8E,120,,,,,,450
AB,SEK,SEK,HOK,2,3,1,8F,120,,,,,,450
P,HOK,SEK,HOK,2,3,1,8G,120,,,,,,450
AB,HOK,SEK,HOK,2,3,1,8H,120,,,,,,450
P,HOK,HOK,HOK,2,2,1,9A,120,,,,,,450
AB,HOK,HOK,HOK,2,2,1,9B,120,,,,,,450
P,SEK,HOK,HOK,2,2,1,9C,120,,,,,,450
AB,SEK,HOK,HOK,2,2,1,9D,120,,,,,,450
P,SEK,SEK,HOK,2,2,1,9E,120,,,,,,450
AB,SEK,SEK,HOK,2,2,1,9F,120,,,,,,450
P,HOK,SEK,HOK,2,2,1,9G,120,,,,,,450
AB,HOK,SEK,HOK,2,2,1,9H,120,,,,,,450
P,HOK,HOK,HOK,2,1,1,10A,120,,,,,,450
AB,HOK,HOK,HOK,2,1,1,10B,120,,,,,,450
P,SEK,HOK,HOK,2,1,1,10C,120,,,,,,450
AB,SEK,HOK,HOK,2,1,1,10D,120,,,,,,450
P,SEK,SEK,HOK,2,1,1,10E,120,,,,,,450
AB,SEK,SEK,HOK,2,1,1,10F,120,,,,,,450
P,HOK,SEK,HOK,2,1,1,10G,120,,,,,,450
AB,HOK,SEK,HOK,2,1,1,10H,120,,,,,,450
P,HOK,HOK,SEK,1,5,1,1A,120,,,,,,450
AB,HOK,HOK,SEK,1,5,1,1B,120,,,,,,450
P,SEK,HOK,SEK,1,5,1,1C,120,,,,,,450
AB,SEK,HOK,SEK,1,5,1,1D,120,,,,,,450
P,SEK,SEK,SEK,1,5,1,1E,120,,,,,,450
AB,SEK,SEK,SEK,1,5,1,1F,120,,,,,,450
P,HOK,SEK,SEK,1,5,1,1G,120,,,,,,450
AB,HOK,SEK,SEK,1,5,1,1H,120,,,,,,450
P,HOK,HOK,SEK,1,4,1,2A,120,,,,,,450
AB,HOK,HOK,SEK,1,4,1,2B,120,,,,,,450
P,SEK,HOK,SEK,1,4,1,2C,120,,,,,,450
AB,SEK,HOK,SEK,1,4,1,2D,120,,,,,,450
P,SEK,SEK,SEK,1,4,1,2E,120,,,,,,450
AB,SEK,SEK,SEK,1,4,1,2F,120,,,,,,450
P,HOK,SEK,SEK,1,4,1,2G,120,,,,,,450
AB,HOK,SEK,SEK,1,4,1,2H,120,,,,,,450
P,HOK,HOK,SEK,1,3,1,3A,120,,,,,,450
AB,HOK,HOK,SEK,1,3,1,3B,120,,,,,,450
P,SEK,HOK,SEK,1,3,1,3C,120,,,,,,450
AB,SEK,HOK,SEK,1,3,1,3D,120,,,,,,450
P,SEK,SEK,SEK,1,3,1,3E,120,,,,,,450
AB,SEK,SEK,SEK,1,3,1,3F,120,,,,,,450
P,HOK,SEK,SEK,1,3,1,3G,120,,,,,,450
AB,HOK,SEK,SEK,1,3,1,3H,120,,,,,,450
P,HOK,HOK,SEK,1,2,1,4A,120,,,,,,450
AB,HOK,HOK,SEK,1,2,1,4B,120,,,,,,450
P,SEK,HOK,SEK,1,2,1,4C,120,,,,,,450
AB,SEK,HOK,SEK,1,2,1,4D,120,,,,,,450
P,SEK,SEK,SEK,1,2,1,4E,120,,,,,,450
AB,SEK,SEK,SEK,1,2,1,4F,120,,,,,,450
P,HOK,SEK,SEK,1,2,1,4G,120,,,,,,450
AB,HOK,SEK,SEK,1,2,1,4H,120,,,,,,450
P,HOK,HOK,SEK,1,1,1,5A,120,,,,,,450
AB,HOK,HOK,SEK,1,1,1,5B,120,,,,,,450
P,SEK,HOK,SEK,1,1,1,5C,120,,,,,,450
AB,SEK,HOK,SEK,1,1,1,5D,120,,,,,,450
P,SEK,SEK,SEK,1,1,1,5E,120,,,,,,450
AB,SEK,SEK,SEK,1,1,1,5F,120,,,,,,450
P,HOK,SEK,SEK,1,1,1,5G,120,,,,,,450
AB,HOK,SEK,SEK,1,1,1,5H,120,,,,,,450
P,HOK,HOK,HOK,1,5,1,6A,120,,,,,,450
AB,HOK,HOK,HOK,1,5,1,6B,120,,,,,,450
P,SEK,HOK,HOK,1,5,1,6C,120,,,,,,450
AB,SEK,HOK,HOK,1,5,1,6D,120,,,,,,450
P,SEK,SEK,HOK,1,5,1,6E,120,,,,,,450
AB,SEK,SEK,HOK,1,5,1,6F,120,,,,,,450
P,HOK,SEK,HOK,1,5,1,6G,120,,,,,,450
AB,HOK,SEK,HOK,1,5,1,6H,120,,,,,,450
P,HOK,HOK,HOK,1,4,1,7A,120,,,,,,450
AB,HOK,HOK,HOK,1,4,1,7B,120,,,,,,450
P,SEK,HOK,HOK,1,4,1,7C,120,,,,,,450
AB,SEK,HOK,HOK,1,4,1,7D,120,,,,,,450
P,SEK,SEK,HOK,1,4,1,7E,120,,,,,,450
AB,SEK,SEK,HOK,1,4,1,7F,120,,,,,,450
P,HOK,SEK,HOK,1,4,1,7G,120,,,,,,450
AB,HOK,SEK,HOK,1,4,1,7H,120,,,,,,450
P,HOK,HOK,HOK,1,3,1,8A,120,,,,,,450
AB,HOK,HOK,HOK,1,3,1,8B,120,,,,,,450
P,SEK,HOK,HOK,1,3,1,8C,120,,,,,,450
AB,SEK,HOK,HOK,1,3,1,8D,120,,,,,,450
P,SEK,SEK,HOK,1,3,1,8E,120,,,,,,450
AB,SEK,SEK,HOK,1,3,1,8F,120,,,,,,450
P,HOK,SEK,HOK,1,3,1,8G,120,,,,,,450
AB,HOK,SEK,HOK,1,3,1,8H,120,,,,,,450
P,HOK,HOK,HOK,1,2,1,9A,120,,,,,,450
AB,HOK,HOK,HOK,1,2,1,9B,120,,,,,,450
P,SEK,HOK,HOK,1,2,1,9C,120,,,,,,450
AB,SEK,HOK,HOK,1,2,1,9D,120,,,,,,450
P,SEK,SEK,HOK,1,2,1,9E,120,,,,,,450
AB,SEK,SEK,HOK,1,2,1,9FR,120,,,,,,450
P,HOK,SEK,HOK,1,2,1,9G,120,,,,,,450
AB,HOK,SEK,HOK,1,2,1,9H,120,,,,,,450
P,HOK,HOK,HOK,1,1,1,10A,120,,,,,,450
AB,HOK,HOK,HOK,1,1,1,10B,120,,,,,,450
P,SEK,HOK,HOK,1,1,1,10C,120,,,,,,450
AB,SEK,HOK,HOK,1,1,1,10D,120,,,,,,450
P,SEK,SEK,HOK,1,1,1,10E,120,,,,,,450
AB,SEK,SEK,HOK,1,1,1,10F,120,,,,,,450
P,HOK,SEK,HOK,1,1,1,10G,120,,,,,,450
AB,HOK,SEK,HOK,1,1,1,10H,120,,,,,,450
P,HOK,HOK,SEK,2,5,1,1A,960,,,,,,450
AB,HOK,HOK,SEK,2,5,1,1B,960,,,,,,450
P,SEK,HOK,SEK,2,5,1,1C,960,,,,,,450
AB,SEK,HOK,SEK,2,5,1,1D,960,,,,,,450
P,SEK,SEK,SEK,2,5,1,1E,960,,,,,,450
AB,SEK,SEK,SEK,2,5,1,1F,960,,,,,,450
P,HOK,SEK,SEK,2,5,1,1G,960,,,,,,450
AB,HOK,SEK,SEK,2,5,1,1H,960,,,,,,450
P,HOK,HOK,SEK,2,4,1,2A,960,,,,,,450
AB,HOK,HOK,SEK,2,4,1,2B,960,,,,,,450
P,SEK,HOK,SEK,2,4,1,2C,960,,,,,,450
AB,SEK,HOK,SEK,2,4,1,2D,960,,,,,,450
P,SEK,SEK,SEK,2,4,1,2E,960,,,,,,450
AB,SEK,SEK,SEK,2,4,1,2F,960,,,,,,450
P,HOK,SEK,SEK,2,4,1,2G,960,,,,,,450
AB,HOK,SEK,SEK,2,4,1,2H,960,,,,,,450
P,HOK,HOK,SEK,2,3,1,3A,960,,,,,,450
AB,HOK,HOK,SEK,2,3,1,3B,960,,,,,,450
P,SEK,HOK,SEK,2,3,1,3C,960,,,,,,450
AB,SEK,HOK,SEK,2,3,1,3D,960,,,,,,450
P,SEK,SEK,SEK,2,3,1,3E,960,,,,,,450
AB,SEK,SEK,SEK,2,3,1,3F,960,,,,,,450
P,HOK,SEK,SEK,2,3,1,3G,960,,,,,,450
AB,HOK,SEK,SEK,2,3,1,3H,960,,,,,,450
P,HOK,HOK,SEK,2,2,1,4A,960,,,,,,450
AB,HOK,HOK,SEK,2,2,1,4B,960,,,,,,450
P,SEK,HOK,SEK,2,2,1,4C,960,,,,,,450
AB,SEK,HOK,SEK,2,2,1,4D,960,,,,,,450
P,SEK,SEK,SEK,2,2,1,4E,960,,,,,,450
AB,SEK,SEK,SEK,2,2,1,4F,960,,,,,,450
P,HOK,SEK,SEK,2,2,1,4G,960,,,,,,450
AB,HOK,SEK,SEK,2,2,1,4H,960,,,,,,450
P,HOK,HOK,SEK,2,1,1,5A,960,,,,,,450
AB,HOK,HOK,SEK,2,1,1,5B,960,,,,,,450
P,SEK,HOK,SEK,2,1,1,5C,960,,,,,,450
AB,SEK,HOK,SEK,2,1,1,5D,960,,,,,,450
P,SEK,SEK,SEK,2,1,1,5E,960,,,,,,450
AB,SEK,SEK,SEK,2,1,1,5F,960,,,,,,450
P,HOK,SEK,SEK,2,1,1,5G,960,,,,,,450
AB,HOK,SEK,SEK,2,1,1,5H,960,,,,,,450
P,HOK,HOK,HOK,2,5,1,6A,960,,,,,,450
AB,HOK,HOK,HOK,2,5,1,6B,960,,,,,,450
P,SEK,HOK,HOK,2,5,1,6C,960,,,,,,450
AB,SEK,HOK,HOK,2,5,1,6D,960,,,,,,450
P,SEK,SEK,HOK,2,5,1,6E,960,,,,,,450
AB,SEK,SEK,HOK,2,5,1,6F,960,,,,,,450
P,HOK,SEK,HOK,2,5,1,6G,960,,,,,,450
AB,HOK,SEK,HOK,2,5,1,6H,960,,,,,,450
P,HOK,HOK,HOK,2,4,1,7A,960,,,,,,450
AB,HOK,HOK,HOK,2,4,1,7B,960,,,,,,450
P,SEK,HOK,HOK,2,4,1,7C,960,,,,,,450
AB,SEK,HOK,HOK,2,4,1,7D,960,,,,,,450
P,SEK,SEK,HOK,2,4,1,7E,960,,,,,,450
AB,SEK,SEK,HOK,2,4,1,7F,960,,,,,,450
P,HOK,SEK,HOK,2,4,1,7G,960,,,,,,450
AB,HOK,SEK,HOK,2,4,1,7H,960,,,,,,450
P,HOK,HOK,HOK,2,3,1,8A,960,,,,,,450
AB,HOK,HOK,HOK,2,3,1,8B,960,,,,,,450
P,SEK,HOK,HOK,2,3,1,8C,960,,,,,,450
AB,SEK,HOK,HOK,2,3,1,8D,960,,,,,,450
P,SEK,SEK,HOK,2,3,1,8E,960,,,,,,450
AB,SEK,SEK,HOK,2,3,1,8F,960,,,,,,450
P,HOK,SEK,HOK,2,3,1,8G,960,,,,,,450
AB,HOK,SEK,HOK,2,3,1,8H,960,,,,,,450
P,HOK,HOK,HOK,2,2,1,9A,960,,,,,,450
AB,HOK,HOK,HOK,2,2,1,9B,960,,,,,,450
P,SEK,HOK,HOK,2,2,1,9C,960,,,,,,450
AB,SEK,HOK,HOK,2,2,1,9D,960,,,,,,450
P,SEK,SEK,HOK,2,2,1,9E,960,,,,,,450
AB,SEK,SEK,HOK,2,2,1,9F,960,,,,,,450
P,HOK,SEK,HOK,2,2,1,9G,960,,,,,,450
AB,HOK,SEK,HOK,2,2,1,9H,960,,,,,,450
P,HOK,HOK,HOK,2,1,1,10A,960,,,,,,450
AB,HOK,HOK,HOK,2,1,1,10B,960,,,,,,450
P,SEK,HOK,HOK,2,1,1,10C,960,,,,,,450
AB,SEK,HOK,HOK,2,1,1,10D,960,,,,,,450
P,SEK,SEK,HOK,2,1,1,10E,960,,,,,,450
AB,SEK,SEK,HOK,2,1,1,10F,960,,,,,,450
P,HOK,SEK,HOK,2,1,1,10G,960,,,,,,450
AB,HOK,SEK,HOK,2,1,1,10H,960,,,,,,450
P,HOK,HOK,SEK,1,5,1,1A,960,,,,,,450
AB,HOK,HOK,SEK,1,5,1,1B,960,,,,,,450
P,SEK,HOK,SEK,1,5,1,1C,960,,,,,,450
AB,SEK,HOK,SEK,1,5,1,1D,960,,,,,,450
P,SEK,SEK,SEK,1,5,1,1E,960,,,,,,450
AB,SEK,SEK,SEK,1,5,1,1F,960,,,,,,450
P,HOK,SEK,SEK,1,5,1,1G,960,,,,,,450
AB,HOK,SEK,SEK,1,5,1,1H,960,,,,,,450
P,HOK,HOK,SEK,1,4,1,2A,960,,,,,,450
AB,HOK,HOK,SEK,1,4,1,2B,960,,,,,,450
P,SEK,HOK,SEK,1,4,1,2C,960,,,,,,450
AB,SEK,HOK,SEK,1,4,1,2D,960,,,,,,450
P,SEK,SEK,SEK,1,4,1,2E,960,,,,,,450
AB,SEK,SEK,SEK,1,4,1,2F,960,,,,,,450
P,HOK,SEK,SEK,1,4,1,2G,960,,,,,,450
AB,HOK,SEK,SEK,1,4,1,2H,960,,,,,,450
P,HOK,HOK,SEK,1,3,1,3A,960,,,,,,450
AB,HOK,HOK,SEK,1,3,1,3B,960,,,,,,450
P,SEK,HOK,SEK,1,3,1,3C,960,,,,,,450
AB,SEK,HOK,SEK,1,3,1,3D,960,,,,,,450
P,SEK,SEK,SEK,1,3,1,3E,960,,,,,,450
AB,SEK,SEK,SEK,1,3,1,3F,960,,,,,,450
P,HOK,SEK,SEK,1,3,1,3G,960,,,,,,450
AB,HOK,SEK,SEK,1,3,1,3H,960,,,,,,450
P,HOK,HOK,SEK,1,2,1,4A,960,,,,,,450
AB,HOK,HOK,SEK,1,2,1,4B,960,,,,,,450
